id;title;hotelstars;timezone;price;duration;climate;country;countryId;temperatura;landscape;type;transport
289;Hotel R2 Rio Calma;5;1;2499;8;Kontynentalny;Hiszpania;14;32;2;1;3
290;Hotel Monte Mar Palace;4;1;1649;4;Śródziemnomorski;Portugalia;19;24;2;1;3
291;Statek Piracki na Wyspę Flamingów;3;1;2299;7;Śródziemnomorski;Tunezja;22;33;3;2;3
292;Zakupy & Starówka Antalyi;3;3;2565;12;Kontynentalny;Turcja;16;31;3;2;3
293;Pamukkale i jezioro Salda;3;3;1414;7;Kontynentalny;Turcja;16;31;6;2;3
294;Club Hotel Solaris;3;1;1559;8;Śródziemnomorski;Włochy;13;27;7;3;3
295;Hotel Du Lac Vital Mountain;3;1;1009;6;Śródziemnomorski;Włochy;13;27;7;3;3
296;Hotel Meliá Sunny Beach;5;3;2809;8;Kontynentalny;Bułgaria;9;30;3;1;1
297;Hotel Meliá Sunny Beach;5;3;4099;11;Kontynentalny;Bułgaria;9;30;3;1;1
298;Hotel Barceló Royal Beach;5;3;2319;8;Kontynentalny;Bułgaria;9;30;3;3;3
299;Hotel Evelina Palace;4;3;679;6;Kontynentalny;Bułgaria;9;30;7;3;1
300;Hotel Astarea 1;3;1;1329;5;Śródziemnomorski;Chorwacja;12;30;2;1;3
301;Trim Sunny Apartments by Valamar;2;1;1339;4;Śródziemnomorski;Chorwacja;12;30;2;1;3
302;Hotel Aquapark Szpindlerowy Młyn;3;1;659;4;Kontynentalny;Czechy;6;25;7;3;1
303;Hotel Malikia Resort Abu Dabbab;5;2;2879;8;Śródziemnomorski;Egipt;21;28;2;3;3
304;Skarby faraonów;3;2;2109;8;Śródziemnomorski;Egipt;21;28;1;2;3
305;Bożonarodzeniowa Alzacja;3;1;998;5;Kontynentalny;Francja;11;25;9;2;3
306;Hotel Club Paloma Family;4;2;2459;8;Kontynentalny;Turcja;16;31;3;1;3
307;Hotel Gold Island;5;2;2629;6;Kontynentalny;Turcja;16;31;3;1;3
308;Hotel Gold Island;5;2;3299;9;Kontynentalny;Turcja;16;31;3;1;3
