id,title,hotelstars,timezone,price,duration,climate,country,countryId,temperatura,landscape,type,transport,cluster
259,Potega Poludnia,0.25,0.6428571428571428,0.13473967684021546,0.14285714285714285,Śródziemnomorski,Egipt,0.625,0.33333333333333326,0.0,0.5,1.0,3
260,"Paris, Paris…",0.25,0.5714285714285714,0.09596050269299822,0.2857142857142857,Kontynentalny,Francja,0.3125,0.19047619047619047,1.0,0.5,1.0,8
261,Wycieczka na Lazurowe Wybrzeże,0.25,0.5714285714285714,0.09596050269299822,0.2857142857142857,Kontynentalny,Francja,0.3125,0.19047619047619047,0.25,0.5,1.0,3
262,Wiosna w Prowansji,0.25,0.5714285714285714,0.12289048473967684,0.2857142857142857,Kontynentalny,Francja,0.3125,0.19047619047619047,1.0,0.5,1.0,8
263,Islas Bonitas,0.25,0.5714285714285714,0.41651705565529623,0.42857142857142855,Kontynentalny,Hiszpania,0.40625,0.5238095238095237,0.25,0.5,1.0,18
264,Śródziemnomorska księżniczka,0.25,0.5714285714285714,0.16786355475763018,0.42857142857142855,Śródziemnomorski,Malta,0.59375,0.38095238095238093,0.25,0.5,1.0,3
265,Maltańskie trojaczki,0.25,0.5714285714285714,0.16786355475763018,0.42857142857142855,Śródziemnomorski,Malta,0.59375,0.38095238095238093,0.25,0.5,1.0,3
266,Bożonarodzeniowe Jarmarki,0.25,0.5714285714285714,0.06274685816876122,0.07142857142857142,Morski,Niemcy,0.03125,0.09523809523809512,1.0,0.5,1.0,8
267,Sankt Petersburg,0.25,0.7142857142857143,0.25763016157989227,0.21428571428571425,Kontynentalny,Rosja,0.28125,0.0,1.0,0.5,1.0,8
268,Rosyjska zima,0.25,0.7142857142857143,0.4362657091561939,0.35714285714285715,Kontynentalny,Rosja,0.28125,0.0,1.0,0.5,1.0,8
269,Szlakiem hrabiego Drakuli,0.25,0.6428571428571428,0.07289048473967685,0.0,Kontynentalny,Rumunia,0.1875,0.2857142857142856,0.875,0.5,0.5,9
